id,name,city,neighborhood,address,cuisineType,priceRange,imageUrl,bookingLinks
cmlpeln3n000jsm3146fh0gs7,1928 Beacon Hill,Boston,Boston,"97 Mt Vernon St, Boston, MA 02108, United States",American,2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfVdLMaa8sqdcIbi4P7Y5U0-e7eRe1wNYAYfYBRHspaTCR9zQDfPRvE_mI3lx3sakm_tliVtivTvHhsl9ykABPhc52LxfUBoQpmEXL4tGKVKT3OKrxkKxgNYsTvlPRKHZDkcwxZ3gXQkG--m0g1sdbp2TIX7-xoLYJmw32WZP1bXarp4AMoMYCRpco9NrNSn4wmyEDppzL-qOku2lWAyPmivzCTVXPS7h_ByJ32LTspvgYGH0kjk_TIbrWQvnJ_SUSeqWZ5vX_5jZkBGDTQ-B8yftIk7v4xxcxbkyZh6uxxC_Y8fMEo&key=AIzaSyD4-tQwcKlzCtPJNN1hBZ-ifpuJ0p6g2v4,"{""resy"":""https://resy.com/cities/bos?query=1928%20Beacon%20Hill"",""direct"":""http://1928beaconhill.com/"",""google"":""https://maps.google.com/?cid=5691132589811207117"",""website"":""http://1928beaconhill.com/"",""opentable"":""https://www.opentable.com/s/?term=1928%20Beacon%20Hill""}"
cmlpelnqj001ksm31vhxjp17l,75 Chestnut,Boston,Boston,"75 Chestnut St, Boston, MA 02108, United States",American,2,https://images.unsplash.com/photo-1559339352-11d035aa65de?auto=format&fit=crop&w=1200&q=80,"{""resy"":""https://resy.com/cities/bos?query=75%20Chestnut"",""direct"":""https://www.google.com/search?q=75%20Chestnut%20Boston%20reservations"",""google"":""https://www.google.com/maps/place/?q=place_id:ChIJefZGB59w44kRMDjVMFNpAIM"",""opentable"":""https://www.opentable.com/s/?term=75%20Chestnut""}"
cmlpelqsy0066sm31t7ghy5n9,75 on Liberty Wharf,Boston,Boston,"220 Northern Ave, Boston, MA 02210, United States",American,3,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfUDZfxy3wDiSUo5Sp8icGzaicpNymOjLrEz-09aPxsawpfsWRJoQxRUoS_BjaYIGw-vBXFfVZOYMwOzs68S6CYlRarHwqH7D0m-5PrgLNnrTpH87jflgloNvYTWcuxWKGOz7BYXTiB080-NRoB_z6kXFrD5Z3ikLSTckJHmEf4sa-7qNzo_BLJMUc9VH_sXduNYuZ169f4iLgK_llZPDtUmsCmrAgEa6pg1-h_Q8RDeFoFlokK-FBVuHh85DiJl9WTV6kE7Lu4Pld0I4Kr9gobjHuruMvJnj9HPgT6LNSt_NXM1ooCOrH5yJt_SQKOMgpxEh58xbwaBKRNgI8rZcZaT5dke7b6MtXCQ63wdIb1XYk-XN9f345tXMO7zo5H1WPo6SN2o-ARYuO1H3cGefcWMvdtnLuODOnRI18iLsKmnlUrZmuisTISf_poPyUHaX8ncrRzvcJykIEFa4q6dvuey-9ipaW0jPatIGyBI4hQcPrq6qfimUpCjht9c6R6pijlTVQeSKwg0abLUoSGr-Bo1FrqEjGOCMG2y4fhvMy2qksz2P1oMjfD7pmtw4id8fxpY09ZgBMSzFA&key=AIzaSyD4-tQwcKlzCtPJNN1hBZ-ifpuJ0p6g2v4,"{""resy"":""https://resy.com/cities/bos?query=75%20on%20Liberty%20Wharf"",""direct"":""https://www.75onlibertywharf.com/"",""google"":""https://maps.google.com/?cid=12327939283130174715"",""website"":""https://www.75onlibertywharf.com/"",""opentable"":""https://www.opentable.com/s/?term=75%20on%20Liberty%20Wharf""}"
cmlpelpp9004jsm31jfdecv9c,A.T. O'Keeffe's,Boston,Boston,"911 Boylston St, Boston, MA 02115, United States",American,2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfUqkKVleAfWxQlRSWZGnXF7-yJs_9tR263r45OjOfF6cRA4qD6a7G4P__66yemYpoUGg3x0ZdaCsfh5NLZ8nZA1EUwE1-e67dBQW2OEVPGU8WdKbMjruGo0p7KUrQf1lGlp6AYcgHR3mQq2DaLJ45NRntwXnKlucQnJUlXFjBxkUhtNl1BM4oHrfmXH3Ktb61HAz7aog3Mp3f7jdY2R-n3OCmkQ4vj-guA062gmJC3FrSUIGb8u9dFqKht6l57KsOoNh-B2l1UQSoTYbTMm1TcgP9EKUIjp_SFPIkqrmdyLMHQQUSE&key=AIzaSyD4-tQwcKlzCtPJNN1hBZ-ifpuJ0p6g2v4,"{""resy"":""https://resy.com/cities/bos?query=A.T.%20O'Keeffe's"",""direct"":""https://atokeeffes.com/"",""google"":""https://maps.google.com/?cid=2838863756724536803"",""website"":""https://atokeeffes.com/"",""opentable"":""https://www.opentable.com/s/?term=A.T.%20O'Keeffe's""}"
cmlpelpay003ysm31ylcx47kx,Abe & Louie's,Boston,Boston,"793 Boylston St, Boston, MA 02116, United States",American,3,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfWV1vdP2VfKH2_OpNNHkusofwFWiLP0Yb2EyCOsbfUlOit_dtbKR4bO6TGoPkSkuIM4D5Sftc4nlmr1YJ12ENjkV_BasOaKh0G_gGchWnUTdhTI7eRzjSST1NVBEZ9nT9GxPrv-nvygSEINKDAqXRzJx19lfxI-dFzwp9pzmLifkvwOeR9ODiCFHuGb9NoSo_QT8VhIoWx8bVPBZCdjnLaC2eMUf5t4T1p8cG_RLyibh69_yrSB7fa5CKJfaUoV18iDyhTkGhPbrQi2fHOShbvKe3rEkURpbM3HuPlnfyV90rmN59lBSM8BHRaeMoG8ANvkXCC4FeQujcb4uoNJ1PNdP30XOpV3kqcXxhLWksQBwEZk1Y7z3m1LC1olMHeE4LxRvziHEO6TqK_5NMIpYfB446Vskg6REGMkADHll6b-BJ4JjeRX0jwZy_K-jjkX_LFc2_Phq4ANcLM8Dv4g--hkPv6m0LVPMhb9FV0MUHN4xbBH-tQTom5MAioKzrEtawcB8mlwxqU1Xgie0ma1aTqCoqwRlwMsusDapWiY_MWj8OxRB7pDizUzalIbqw52H1UdgtNQAP8g6g&key=AIzaSyD4-tQwcKlzCtPJNN1hBZ-ifpuJ0p6g2v4,"{""resy"":""https://resy.com/cities/bos?query=Abe%20%26%20Louie's"",""direct"":""http://www.abeandlouies.com/"",""google"":""https://maps.google.com/?cid=4279612748889686853"",""website"":""http://www.abeandlouies.com/"",""opentable"":""https://www.opentable.com/s/?term=Abe%20%26%20Louie's""}"
cmlpelrka007bsm311fr4ia1a,Aceituna Grill,Boston,Boston,"57 Boston Wharf Rd, Boston, MA 02210, United States",American,1,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfWqceSlAu-XrfzWS9FyzIdavsqbxVSAEjl_IRJR71J3PPJTMeCz7sD0nGg-uoILs0EB5nuABf-Md3DnHjJLdj_yoPjgAgHIHNs0yUn2MnXN8I9wQ3FhJbYBLm9ld7ujT5MSJBJCjYjTuRvm-chEMe1q29OMkrYOBWQFRCftpSv4cpEnzcwBSy71QGRPy43OifhTpCqoUqpZSc7dGbPtNkpJ8zEJ7S-7Ddeq9_CiAu8bPiqiW5IxuORJrnIQ1FdxoD055i-sfcYqXZsTVosm1biKKNbJMsDAC0xDzWOj_eVLyuDqx4-thPlXb6MGP_YtAGoSVppH_H0yxn3gvliLe5PpGPzN_lpNCI1AjSRJtuLd1T7_1JnChFAG2oa0XiiOI9S-vL4-Ji48Bqijr9jZzWp3jyJtIiK967NRf49S-YiQ31TzAOhdtdpJcYlTsmbyNz9sph_KOv5zxhUmYJNaDOdW94VY1jxIX1MrWbWCUHSwWcM9ZTjylr8hScvwjy4qUo_0OxU8p8aMc5DJdc0kY0somHtm741Zp__3hvePi5gWtkoPGBLxY4IM3sQoP4L4nMwp9_e-&key=AIzaSyD4-tQwcKlzCtPJNN1hBZ-ifpuJ0p6g2v4,"{""resy"":""https://resy.com/cities/bos?query=Aceituna%20Grill"",""direct"":""http://aceitunagrill.com/"",""google"":""https://maps.google.com/?cid=6112403413264097346"",""website"":""http://aceitunagrill.com/"",""opentable"":""https://www.opentable.com/s/?term=Aceituna%20Grill""}"
cmlpeloeh002jsm31lp1gcudi,Al Dente Ristorante,Boston,Boston,"109 Salem St # 1, Boston, MA 02113, United States",American,2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfUs1z3f7APXtrgfDDFgbp34mKD6EL8nP_oXKQCMu8EHmNVav_K4cocynLrgFe7jIhb6fGzhfObtc97iHdRrhmY4ztcj1rWYS_63WNXwM0YIIHFAV9nfQwHN6jS4PZMZ6YtE9IoEozLdi8IwzPQbn3wgVRVTrmFV5bmLSBQ_KRn2nUJHJEmJPC9UtPdqMeqtUYL3vydf5oJQYkri1kGF9ijsUflmp1lVhMniQAl67ApmMGfSUBaxIBpGEu_mLK-SE-jtye9hisOyZqb347uDJLo4O9JxOE1yF5Y_JYBap7nVh4c-2s_OIAAbqw_lhDDQmnGL7JR1qYuoT-8IaB9kw7OGNsuMsYItXSbCfRkYBglAQor0gg3LdDNN5W03xAdeL9hAYjWcWnzH8vLgL50kiDgQWO2D_EQi6J35MQ0Yn0f9xQ6BBttUKqavec4ZmzhBbiyAr51aWaVeS1Lv7PmmBU5RhQFS2878-ORDpTg7ElaSqlca7KybfqmM50ZjbC6KVOMjQu5ztuK8K69Oj7D85QusQV_fK5J0VAb1_de279sqyX6TWOOttkNl06xDOKPvtSF_QA&key=AIzaSyD4-tQwcKlzCtPJNN1hBZ-ifpuJ0p6g2v4,"{""resy"":""https://resy.com/cities/bos?query=Al%20Dente%20Ristorante"",""direct"":""http://www.aldenteboston.com/"",""google"":""https://maps.google.com/?cid=3024469406234132265"",""website"":""http://www.aldenteboston.com/"",""opentable"":""https://www.opentable.com/s/?term=Al%20Dente%20Ristorante""}"
cmlphx21x0014smld4sfsnxw1,Alcove,Boston,Boston,"50 Lovejoy Wharf, Boston, MA 02114, United States",American,2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfVS5LfQZcFfKEMhqoR0vd8g2H3kCKBqvlQ7pP_4qtuDdOgS05uAqD5e71D7VhQtV7eiQeo-C6czhEEn300SKi28RM05_60v1FzyZnAPZGXtS-sgHXHgg0yiHQWCHf7sK7Ru1DBFXQcTncg3u_35c6C4VTbUf0U2KgLAFAeAxus98oabHEiqnBzETX0CSCF4Onkf3jyQEcNCZrarIGFIort1J9qRZRg1u7mcR3zFztLdxi4qnnVt2zcGy2-NuA4F9UlZmjw018B9PxOjm0xpwIqjzEXOZJVl48UujnALrX9cwXYrGhoz-0O9xluhjTXVnjjmwYrHPD3Gj7Y8SC3Sq_h4Glg6LDWeR3ZJkK50sa4oPmRH9ciHw6chAEIAYz3kZdHVBVFXZd9jXg1FeH914WV82izRoCiE33EGAq2LQhJio5ReY3H4MuVP3gX7IpTud77lKTgGNhtWaGLuepP2UkvRY9qX0dMt2MN_fiT2Tvp3tfEg8CEHBw6QO-mviqSqnPUj0eFYmlDp88hrYOrBL_xGjwtPigAMdWeyMlO11bZiCtNvM-PPqTsn8IRWL6m4YvOZWOsO&key=AIzaSyD4-tQwcKlzCtPJNN1hBZ-ifpuJ0p6g2v4,"{""resy"":""https://resy.com/cities/bos?query=Alcove"",""direct"":""http://alcoveboston.com/"",""google"":""https://maps.google.com/?cid=16003714921726507899"",""website"":""http://alcoveboston.com/"",""opentable"":""https://www.opentable.com/s/?term=Alcove""}"
cmlpelpps004ksm314gzfvgs7,All'Antico Vinaio,Boston,Boston,"565 Boylston St, Boston, MA 02116, United States",American,2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfWHqTMR92kElYlz49QHAju2bEvoe3ENbnZaMFHgrzrqIq2NrISX5UelooNxEpUAjgStIRL1uAT7bFhL36bVFMwh_nsc2xh6ixLzfHakPkBf2NjvjKzjmb8NP9BJWMVlqor4To2ldB9xpQp1vHrprhcaYHjuBASQIqcSI2GWFOvBugHZqEIGrUQukWIdiBciACqt2UW2nr1QASQG-DIvrqsYHPhWDxyOTUcoAVKeCFX1LI-X-fa61xydwLny3mPi8ixlJvTMrq3LdvuAgBrBoqqSComqOTB3GU_e-wVcbXC1vCsvNi952AHe9owEnnVkiBaJE9RSANlNBg3S7PdlhM2A8Ph25SuH2sUhOdURIbyvr-Pbdvdh0OfGBqXwswFizB4CJ1SCGy9nmQ3bzS1Eyf24Lx-jVUzNHYx_eWdSYHUsDFj-WqLiZ0Tk6ZypMKTj4sOGdMSg5X3o7W7I4XeVGN-moBVSCzMG3FAeag4zIQs7MN-aiMfCbph7jHssLVzNHUgzfiO7CYnyHIszohew3LXNWmCSgobaKN6cwXfpUiVI69n9JKAreSEe2azqnoKz_Papyd_MWmQHsa8hk-GmAjIJSbJILg&key=AIzaSyD4-tQwcKlzCtPJNN1hBZ-ifpuJ0p6g2v4,"{""resy"":""https://resy.com/cities/bos?query=All'Antico%20Vinaio"",""direct"":""https://www.allanticovinaiousa.com/"",""google"":""https://maps.google.com/?cid=6786871355611540682"",""website"":""https://www.allanticovinaiousa.com/"",""opentable"":""https://www.opentable.com/s/?term=All'Antico%20Vinaio""}"
cmlpelrek0075sm31keh1jyxk,Alma Gaucha,Boston,Boston,"401 D St, Boston, MA 02210, United States",American,3,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfUZSSORxjeCgqqBKM9fo3icLEFSlG3tDxG3tpCWA-iMaeI7I67Wjt58j8kw8m3gxhyKwfdaKQI0-MBsmQvALp7eStIwBuy-EQuAeCZPledZKczx7P6ir-eLsTVnrTQYsYgWBIm00ybu_-QVhvHdJsiMl8uZC0IwKi4tDqeqYoxITjwzUlYnd10ipcSHC1dXwsO0Z8OKDmOtulau8pVx7cALyHCR8gWm-ngFmul2FTu5z6UmMQRqHA4dInMqut2M7rBgA42EGLIecEqhYzxxoR0pNKmrzfwjTplgkM_-KhND-dfFZa-gEH_zlnPFO4V65Lvl_FCma_WL8E6eiFhjnGDVWPJFpDWjgu3ChoVTYQj7TcuJzgHQpNG7-LjJt8GvjZ7UYi3o1a2wK9NlVFKJmhMSkYsR7UJfoJAdUE8Yr4QYU_n455le65lbhqEl4ogNf_DFm8Tzn-HNPZAvt4tXaqbitQsFwxH37_-eCGgUFopy1YuM05xOQUmrMm3snUKVFnm79jtUp9YEfy2bMM0I-odp13LnWHgmF6MEeyLdc15em3NhMZjkuTKJy7q2pdkPN3dB9cXIpPi0Bg&key=AIzaSyD4-tQwcKlzCtPJNN1hBZ-ifpuJ0p6g2v4,"{""resy"":""https://resy.com/cities/bos?query=Alma%20Gaucha"",""direct"":""http://almagauchausa.com/"",""google"":""https://maps.google.com/?cid=1489060704951651401"",""website"":""http://almagauchausa.com/"",""opentable"":""https://www.opentable.com/s/?term=Alma%20Gaucha""}"
